rental_id,date,city,bike_type,membership_type,weather,payment_method,gender,age,duration_hours,distance_km,rental_cost,rating,is_weekend,discount_applied
1041,2024-02-10,Pune,City,Monthly,Cloudy,Wallet,Female,32,3.7,2.4,653.37,5,True,True
1042,2024-02-11,Pune,City,Monthly,Rainy,Card,Female,23,3.6,19.1,629.61,4,True,False
1043,2024-02-12,Kolkata,Electric,Annual,Windy,Card,Female,64,7.3,46.5,461.31,4,False,False
1044,2024-02-13,Pune,Hybrid,Daily,Cloudy,Wallet,Female,31,5.9,13.0,99.85,4,True,False
1045,2024-02-14,Delhi,Road,Monthly,Windy,Cash,Female,28,5.1,32.4,624.89,5,True,True
1046,2024-02-15,Bangalore,Electric,Monthly,Sunny,Wallet,Male,56,2.8,12.7,487.79,3,True,False
1047,2024-02-16,Kolkata,City,Daily,Sunny,Card,Male,26,6.7,17.4,636.47,3,False,False
1048,2024-02-17,Bangalore,Mountain,Weekly,Sunny,Cash,Female,43,7.7,42.7,613.81,2,False,False
1049,2024-02-18,Hyderabad,City,Weekly,Rainy,Card,Female,33,6.7,37.0,652.25,4,False,False
1050,2024-02-19,Delhi,Hybrid,Annual,Cloudy,Cash,Female,22,0.5,6.6,438.51,4,False,True
1051,2024-02-20,Chennai,City,Weekly,Sunny,UPI,Female,27,5.3,22.6,155.24,5,True,False
1052,2024-02-21,Delhi,Mountain,Daily,Sunny,Card,Male,20,0.9,3.4,553.37,3,True,False
1053,2024-02-22,Kolkata,Hybrid,Monthly,Cloudy,Card,Female,30,2.4,25.1,515.36,4,False,False
1054,2024-02-23,Chennai,City,Weekly,Sunny,Wallet,Male,60,0.9,33.8,606.69,5,False,False
1055,2024-02-24,Hyderabad,Hybrid,Annual,Windy,Card,Male,47,5.0,7.7,177.41,5,False,False
1056,2024-02-25,Kolkata,Road,Weekly,Cloudy,Card,Male,62,5.6,15.9,196.23,4,False,False
1057,2024-02-26,Mumbai,Road,Daily,Cloudy,UPI,Male,23,1.4,21.1,717.81,4,True,False
1058,2024-02-27,Bangalore,City,Annual,Cloudy,Card,Male,34,3.4,46.1,612.48,3,False,False
1059,2024-02-28,Hyderabad,Hybrid,Weekly,Windy,UPI,Male,62,3.9,49.7,731.17,5,False,False
1060,2024-02-29,Bangalore,Mountain,Annual,Cloudy,UPI,Female,36,3.3,4.2,619.04,2,False,True
1061,2024-03-01,Pune,City,Daily,Windy,UPI,Male,59,1.4,38.5,497.87,5,False,False
1062,2024-03-02,Mumbai,Road,Monthly,Cloudy,UPI,Male,52,3.6,19.8,540.6,4,False,False
1063,2024-03-03,Mumbai,Road,Daily,Rainy,Cash,Male,63,6.1,20.8,716.85,4,False,False
1064,2024-03-04,Hyderabad,City,Daily,Sunny,Wallet,Male,43,1.0,38.2,484.11,1,False,True
1065,2024-03-05,Mumbai,Hybrid,Daily,Rainy,Cash,Male,22,1.1,46.1,524.29,4,True,False
1066,2024-03-06,Chennai,Road,Daily,Sunny,Card,Male,46,3.2,47.6,167.36,4,True,False
1067,2024-03-07,Mumbai,Hybrid,Monthly,Windy,Cash,Female,54,7.6,29.7,405.44,3,True,False
1068,2024-03-08,Bangalore,Road,Monthly,Rainy,Cash,Female,37,5.5,19.1,587.3,4,True,False
1069,2024-03-09,Bangalore,Road,Annual,Cloudy,Card,Female,38,5.6,39.8,253.21,5,True,False
1070,2024-03-10,Kolkata,Electric,Weekly,Sunny,Card,Male,27,3.2,14.0,201.69,4,True,True
1071,2024-03-11,Bangalore,Road,Monthly,Sunny,Card,Male,22,5.0,29.1,285.37,5,False,False
1072,2024-03-12,Kolkata,Mountain,Monthly,Rainy,Cash,Female,53,0.6,19.2,231.13,2,False,True
1073,2024-03-13,Bangalore,City,Weekly,Windy,Cash,Male,23,5.3,33.5,211.18,4,True,True
1074,2024-03-14,Chennai,City,Monthly,Rainy,Card,Male,43,7.3,13.5,368.64,2,False,False
1075,2024-03-15,Kolkata,Hybrid,Daily,Windy,Wallet,Male,21,5.1,11.2,730.88,4,True,False
1076,2024-03-16,Delhi,Road,Daily,Windy,Wallet,Male,56,7.1,46.1,430.29,5,False,False
1077,2024-03-17,Pune,Mountain,Weekly,Sunny,UPI,Male,56,5.9,6.9,190.94,4,False,False
1078,2024-03-18,Hyderabad,Hybrid,Annual,Rainy,Card,Male,52,1.4,26.3,107.73,2,False,False
1079,2024-03-19,Bangalore,Electric,Annual,Rainy,UPI,Female,18,7.3,12.6,572.12,4,False,False
1080,2024-03-20,Mumbai,Hybrid,Weekly,Windy,Wallet,Male,41,1.0,3.9,337.1,4,False,True
1081,2024-03-21,Bangalore,Hybrid,Weekly,Rainy,UPI,Female,53,4.5,3.7,666.37,4,False,False
1082,2024-03-22,Mumbai,Road,Daily,Cloudy,Card,Female,23,1.6,10.4,544.63,5,True,False
1083,2024-03-23,Pune,Electric,Annual,Cloudy,Card,Female,58,0.6,43.6,647.18,5,True,False
1084,2024-03-24,Pune,Hybrid,Monthly,Rainy,Card,Female,63,3.7,15.6,253.96,4,False,True
1085,2024-03-25,Pune,Mountain,Daily,Rainy,Cash,Other,61,2.7,47.6,569.27,4,True,False
1086,2024-03-26,Mumbai,Mountain,Weekly,Windy,UPI,Male,48,4.1,29.9,248.05,3,False,True
1087,2024-03-27,Bangalore,City,Annual,Cloudy,Wallet,Male,37,4.8,23.0,754.3,2,True,True
1088,2024-03-28,Pune,Electric,Monthly,Cloudy,Wallet,Male,41,0.8,29.8,527.28,4,False,False
1089,2024-03-29,Chennai,Electric,Monthly,Sunny,Wallet,Female,42,1.4,26.8,293.38,4,True,False
1090,2024-03-30,Kolkata,City,Daily,Windy,Cash,Female,53,4.7,38.4,252.13,4,False,False
1091,2024-03-31,Mumbai,Hybrid,Annual,Sunny,Cash,Male,38,3.1,15.6,193.19,4,True,False
1092,2024-04-01,Mumbai,Electric,Annual,Cloudy,Card,Female,47,6.0,18.9,570.98,2,False,False
1093,2024-04-02,Bangalore,Mountain,Weekly,Windy,Wallet,Male,41,5.4,44.9,214.04,4,True,False
1094,2024-04-03,Mumbai,Mountain,Annual,Rainy,Cash,Female,61,6.8,47.4,496.48,3,False,False
1095,2024-04-04,Mumbai,Road,Annual,Windy,Card,Male,59,5.7,44.8,248.48,3,False,True
1096,2024-04-05,Pune,Electric,Daily,Rainy,Wallet,Male,47,3.7,22.1,546.48,5,False,False
1097,2024-04-06,Bangalore,Hybrid,Annual,Rainy,UPI,Male,39,5.5,39.5,661.2,1,True,False
1098,2024-04-07,Pune,City,Monthly,Windy,Card,Male,45,2.6,24.9,633.52,4,True,False
1099,2024-04-08,Kolkata,City,Daily,Rainy,Cash,Male,24,2.8,25.9,620.64,3,True,False
1100,2024-04-09,Kolkata,Hybrid,Daily,Sunny,Cash,Male,52,6.4,11.8,190.79,5,False,False
1101,2024-04-10,Pune,Road,Weekly,Cloudy,Card,Female,45,3.8,30.4,116.29,4,True,False
1102,2024-04-11,Kolkata,City,Annual,Rainy,Card,Male,31,6.5,10.9,574.21,3,False,False
1103,2024-04-12,Bangalore,Electric,Weekly,Sunny,Cash,Male,27,6.7,17.9,326.26,4,True,True
1104,2024-04-13,Hyderabad,Road,Monthly,Rainy,UPI,Female,33,6.9,43.0,374.26,5,True,False
1105,2024-04-14,Pune,Electric,Daily,Cloudy,Wallet,Female,33,7.4,11.9,73.36,5,True,False
1106,2024-04-15,Chennai,Mountain,Daily,Sunny,UPI,Male,48,3.7,5.4,244.68,3,True,False
1107,2024-04-16,Chennai,Road,Daily,Cloudy,Card,Male,59,2.9,5.3,75.26,5,False,True
1108,2024-04-17,Mumbai,City,Monthly,Cloudy,UPI,Male,42,4.9,47.2,709.39,5,True,False
1109,2024-04-18,Kolkata,Road,Monthly,Sunny,Cash,Male,30,3.3,26.3,232.55,5,True,False
1110,2024-04-19,Chennai,Road,Weekly,Sunny,Card,Female,23,5.0,21.7,468.0,4,False,False
1111,2024-04-20,Mumbai,Road,Weekly,Sunny,Wallet,Male,61,5.8,40.9,79.23,4,False,False
1112,2024-04-21,Hyderabad,Road,Weekly,Windy,Cash,Male,26,5.7,42.1,550.14,4,True,False
1113,2024-04-22,Bangalore,Electric,Annual,Sunny,Cash,Female,62,3.3,17.9,292.27,5,True,False
1114,2024-04-23,Bangalore,Mountain,Daily,Sunny,Wallet,Male,53,1.8,35.3,723.44,4,False,False
1115,2024-04-24,Bangalore,Hybrid,Daily,Sunny,Wallet,Female,60,3.7,39.0,716.09,4,False,False
1116,2024-04-25,Chennai,Road,Weekly,Sunny,UPI,Male,37,1.6,33.4,293.97,4,False,True
1117,2024-04-26,Hyderabad,City,Daily,Rainy,Card,Other,35,7.2,9.3,725.72,5,True,False
1118,2024-04-27,Chennai,Road,Weekly,Windy,Wallet,Male,60,3.1,44.0,797.12,5,True,False
1119,2024-04-28,Kolkata,City,Annual,Cloudy,Wallet,Female,38,1.7,27.9,669.06,2,True,False
1120,2024-04-29,Chennai,Electric,Annual,Sunny,Card,Female,21,0.7,15.6,683.65,5,False,True
1121,2024-04-30,Hyderabad,City,Monthly,Rainy,Wallet,Male,50,5.3,22.4,236.76,4,False,False
1122,2024-05-01,Hyderabad,Hybrid,Annual,Rainy,Wallet,Female,44,5.3,3.8,482.53,5,False,True
1123,2024-05-02,Kolkata,Mountain,Weekly,Rainy,UPI,Other,24,3.1,8.1,100.44,4,True,True
1124,2024-05-03,Hyderabad,City,Annual,Cloudy,Cash,Female,23,1.0,38.7,121.19,4,False,False
1125,2024-05-04,Hyderabad,City,Monthly,Sunny,Cash,Female,32,3.6,2.0,799.17,5,True,False
1126,2024-05-05,Bangalore,Mountain,Daily,Windy,Cash,Female,35,2.8,22.0,294.98,3,False,False
1127,2024-05-06,Kolkata,Hybrid,Weekly,Windy,Cash,Male,49,5.6,27.1,611.14,5,True,False
1128,2024-05-07,Delhi,Road,Daily,Rainy,Wallet,Male,28,5.0,4.6,655.0,4,True,True
1129,2024-05-08,Delhi,City,Monthly,Cloudy,Card,Female,37,3.2,48.7,693.52,4,False,False
1130,2024-05-09,Hyderabad,Mountain,Monthly,Cloudy,Card,Male,41,2.1,12.9,798.22,3,True,False
1131,2024-05-10,Delhi,Electric,Monthly,Cloudy,UPI,Female,32,7.9,16.6,231.12,4,False,True
1132,2024-05-11,Delhi,Mountain,Daily,Windy,UPI,Female,24,3.9,16.6,80.26,3,True,False
1133,2024-05-12,Hyderabad,Electric,Daily,Rainy,Wallet,Male,38,5.7,13.1,358.39,1,False,False
1134,2024-05-13,Delhi,Hybrid,Daily,Sunny,Card,Male,59,1.6,2.1,147.56,3,False,False
1135,2024-05-14,Chennai,Road,Daily,Windy,Card,Female,43,4.1,37.0,66.82,1,True,False
1136,2024-05-15,Mumbai,Mountain,Monthly,Rainy,Cash,Male,61,0.7,48.4,320.32,5,False,False
1137,2024-05-16,Kolkata,City,Monthly,Rainy,Wallet,Female,31,4.3,12.8,637.8,5,True,False
1138,2024-05-17,Mumbai,Hybrid,Weekly,Sunny,Wallet,Male,54,7.7,33.8,474.64,4,False,False
1139,2024-05-18,Hyderabad,Mountain,Weekly,Sunny,Cash,Female,38,3.4,37.6,284.58,5,False,True
1140,2024-05-19,Bangalore,City,Daily,Sunny,Wallet,Male,35,0.8,42.7,540.76,3,False,False
1141,2024-05-20,Kolkata,Mountain,Annual,Cloudy,Wallet,Female,22,0.7,22.3,224.01,4,False,False
1142,2024-05-21,Hyderabad,Electric,Annual,Sunny,UPI,Male,20,3.4,16.5,60.79,5,True,False
1143,2024-05-22,Bangalore,Mountain,Monthly,Rainy,Card,Female,40,1.7,17.6,623.27,5,False,False
1144,2024-05-23,Mumbai,Mountain,Monthly,Sunny,Wallet,Male,43,0.7,36.2,517.81,4,False,False
1145,2024-05-24,Hyderabad,Mountain,Monthly,Rainy,UPI,Female,54,6.2,41.2,621.73,5,True,False
1146,2024-05-25,Kolkata,Hybrid,Weekly,Windy,Card,Female,41,3.9,10.7,79.2,3,True,True
1147,2024-05-26,Kolkata,Mountain,Weekly,Cloudy,Cash,Male,36,2.7,19.8,677.84,5,True,False
1148,2024-05-27,Pune,City,Monthly,Windy,UPI,Male,42,7.3,45.3,514.64,1,True,False
1149,2024-05-28,Chennai,Electric,Monthly,Windy,UPI,Male,38,1.4,40.7,472.55,4,True,True
1150,2024-05-29,Delhi,Electric,Monthly,Rainy,Card,Female,29,7.7,49.3,518.46,4,True,False
1151,2024-05-30,Bangalore,Mountain,Annual,Windy,Cash,Female,58,2.9,38.2,698.32,4,False,False
1152,2024-05-31,Pune,Hybrid,Weekly,Rainy,UPI,Male,50,7.2,20.9,490.2,2,True,False
1153,2024-06-01,Delhi,Hybrid,Annual,Sunny,Wallet,Male,21,5.0,30.4,485.71,5,False,True
1154,2024-06-02,Delhi,City,Annual,Sunny,Wallet,Male,59,6.7,33.7,793.01,3,True,True
1155,2024-06-03,Hyderabad,Mountain,Monthly,Rainy,Wallet,Female,24,7.9,5.8,617.55,4,False,False
1156,2024-06-04,Delhi,Electric,Monthly,Sunny,Cash,Male,39,2.7,28.1,381.72,3,False,True
1157,2024-06-05,Chennai,Hybrid,Daily,Cloudy,UPI,Other,50,7.7,36.0,580.55,3,False,False
1158,2024-06-06,Kolkata,Mountain,Daily,Windy,Wallet,Male,34,3.4,10.0,341.92,4,True,False
1159,2024-06-07,Pune,Hybrid,Annual,Cloudy,Cash,Female,41,3.4,39.5,221.66,4,True,True
1160,2024-06-08,Delhi,Hybrid,Weekly,Windy,Wallet,Male,51,3.1,30.0,497.64,3,True,True
1161,2024-06-09,Hyderabad,Electric,Monthly,Sunny,Card,Male,45,4.6,47.7,746.14,3,True,False
1162,2024-06-10,Chennai,Road,Monthly,Cloudy,UPI,Female,60,1.7,4.0,746.85,4,False,False
1163,2024-06-11,Mumbai,City,Annual,Sunny,UPI,Female,58,4.7,14.7,306.43,5,True,False
1164,2024-06-12,Kolkata,City,Daily,Windy,Cash,Other,56,4.6,30.9,445.76,5,False,False
1165,2024-06-13,Kolkata,Electric,Weekly,Rainy,Cash,Male,39,6.2,16.2,208.73,2,False,False
1166,2024-06-14,Pune,Hybrid,Daily,Rainy,UPI,Male,34,6.8,36.3,796.72,4,True,False
1167,2024-06-15,Kolkata,Mountain,Daily,Cloudy,Wallet,Female,51,3.8,38.4,785.84,2,True,False
1168,2024-06-16,Delhi,Hybrid,Daily,Sunny,Wallet,Female,23,2.8,6.9,537.13,1,True,False
1169,2024-06-17,Hyderabad,Electric,Daily,Sunny,Card,Male,63,2.4,26.7,653.31,4,False,False
1170,2024-06-18,Kolkata,City,Monthly,Cloudy,Wallet,Male,23,2.0,26.4,586.33,4,True,False
1171,2024-06-19,Kolkata,Hybrid,Monthly,Rainy,Cash,Male,51,0.9,19.7,494.87,3,False,True
1172,2024-06-20,Mumbai,City,Daily,Windy,Cash,Female,18,3.1,46.8,90.01,3,True,False
1173,2024-06-21,Mumbai,Mountain,Weekly,Cloudy,Wallet,Male,27,2.5,41.7,391.07,1,False,True
1174,2024-06-22,Bangalore,City,Annual,Windy,Cash,Male,38,7.7,35.5,556.09,5,True,True
1175,2024-06-23,Chennai,City,Weekly,Rainy,UPI,Male,22,4.7,36.3,558.15,5,True,False
1176,2024-06-24,Delhi,Road,Weekly,Sunny,UPI,Male,19,3.1,24.2,329.84,2,False,False
1177,2024-06-25,Kolkata,Road,Weekly,Rainy,Wallet,Male,39,4.9,46.2,756.27,3,True,False
1178,2024-06-26,Kolkata,Road,Daily,Cloudy,UPI,Male,19,1.5,35.3,175.52,5,True,False
1179,2024-06-27,Hyderabad,City,Monthly,Sunny,UPI,Male,27,3.8,37.0,425.27,5,True,False
1180,2024-06-28,Bangalore,Electric,Weekly,Cloudy,Card,Female,51,5.2,43.4,568.16,4,True,True
1181,2024-06-29,Chennai,City,Daily,Cloudy,Card,Male,33,4.2,15.2,572.85,2,True,False
1182,2024-06-30,Bangalore,Electric,Weekly,Rainy,UPI,Male,56,3.5,40.7,536.48,1,True,False
1183,2024-07-01,Pune,Electric,Weekly,Cloudy,Wallet,Female,39,8.0,11.4,256.47,4,True,False
1184,2024-07-02,Chennai,Road,Daily,Rainy,Card,Female,29,7.1,18.6,167.15,4,False,False
1185,2024-07-03,Kolkata,Hybrid,Monthly,Sunny,Cash,Male,41,5.2,18.1,526.96,1,False,True
1186,2024-07-04,Kolkata,Mountain,Monthly,Rainy,Cash,Male,64,4.8,49.0,499.48,4,True,False
1187,2024-07-05,Chennai,Road,Annual,Sunny,Cash,Male,57,5.2,43.1,184.52,1,True,False
1188,2024-07-06,Kolkata,Road,Daily,Rainy,Wallet,Female,55,2.0,35.7,578.85,5,True,False
1189,2024-07-07,Delhi,Hybrid,Annual,Windy,UPI,Other,27,3.5,36.9,391.38,3,False,False
1190,2024-07-08,Chennai,Mountain,Annual,Windy,Cash,Female,52,0.8,29.0,550.82,1,False,False
1191,2024-07-09,Bangalore,City,Annual,Cloudy,Wallet,Female,49,4.1,47.5,678.03,4,True,False
1192,2024-07-10,Chennai,City,Monthly,Rainy,Card,Female,24,4.6,25.8,177.3,4,False,False
1193,2024-07-11,Kolkata,Road,Daily,Rainy,UPI,Male,38,2.2,20.3,64.36,5,True,False
1194,2024-07-12,Delhi,Mountain,Annual,Sunny,Card,Male,37,7.7,9.8,634.33,4,True,True
1195,2024-07-13,Delhi,Road,Daily,Cloudy,Wallet,Female,43,7.3,39.7,507.27,3,True,True
1196,2024-07-14,Pune,Electric,Daily,Rainy,Cash,Other,21,5.9,37.3,574.73,5,True,False
1197,2024-07-15,Bangalore,Road,Monthly,Cloudy,Cash,Male,63,4.5,20.4,678.62,3,False,True
1198,2024-07-16,Mumbai,Road,Annual,Windy,Wallet,Female,39,7.0,3.2,652.11,5,False,True
1199,2024-07-17,Mumbai,City,Annual,Rainy,Cash,Male,32,1.5,42.3,770.69,4,True,False
1200,2024-07-18,Chennai,City,Daily,Rainy,UPI,Male,57,6.4,2.5,451.95,4,False,False
1201,2024-07-19,Pune,City,Weekly,Cloudy,Wallet,Male,38,1.4,35.8,416.37,2,False,False
1202,2024-07-20,Hyderabad,Electric,Monthly,Rainy,Card,Male,32,6.5,48.6,351.42,4,True,True
1203,2024-07-21,Chennai,City,Monthly,Cloudy,Wallet,Female,39,2.6,23.0,165.27,5,False,True
1204,2024-07-22,Pune,Mountain,Monthly,Rainy,UPI,Male,45,7.1,13.3,479.46,5,True,True
1205,2024-07-23,Bangalore,Hybrid,Monthly,Sunny,UPI,Female,31,7.6,35.8,257.76,3,True,False
1206,2024-07-24,Bangalore,Mountain,Annual,Cloudy,Wallet,Female,44,1.6,41.2,740.98,3,True,False
1207,2024-07-25,Bangalore,Mountain,Annual,Rainy,Wallet,Female,58,4.0,28.2,487.39,5,True,False
1208,2024-07-26,Bangalore,City,Weekly,Windy,Cash,Male,57,7.9,48.4,494.63,5,False,True
1209,2024-07-27,Bangalore,Hybrid,Monthly,Rainy,UPI,Male,45,4.1,4.5,316.19,2,True,False
1210,2024-07-28,Pune,Hybrid,Monthly,Windy,Wallet,Male,43,7.0,26.2,88.99,4,False,False
1211,2024-07-29,Pune,Hybrid,Daily,Windy,Wallet,Other,19,4.9,36.5,73.81,3,True,False
1212,2024-07-30,Delhi,Electric,Annual,Sunny,UPI,Female,42,3.3,43.4,367.5,5,True,False
1213,2024-07-31,Mumbai,City,Monthly,Cloudy,Wallet,Male,20,2.6,10.6,113.42,2,False,False
1214,2024-08-01,Kolkata,Hybrid,Weekly,Rainy,Cash,Female,25,2.0,40.4,505.14,3,True,True
1215,2024-08-02,Bangalore,Electric,Weekly,Sunny,UPI,Male,61,6.2,28.5,710.73,5,False,True
1216,2024-08-03,Hyderabad,Road,Annual,Rainy,Cash,Female,50,3.4,21.0,712.19,2,False,False
1217,2024-08-04,Kolkata,Road,Weekly,Windy,Cash,Male,59,4.3,8.3,544.28,4,True,True
1218,2024-08-05,Pune,Electric,Weekly,Cloudy,Cash,Female,52,4.2,43.5,208.42,4,True,True
1219,2024-08-06,Hyderabad,Electric,Annual,Rainy,Cash,Male,23,4.8,9.5,697.25,3,True,True
1220,2024-08-07,Hyderabad,City,Monthly,Rainy,UPI,Female,56,7.0,16.9,714.57,4,True,True
1221,2024-08-08,Hyderabad,City,Monthly,Windy,Cash,Female,40,7.9,15.9,197.49,4,True,False
1222,2024-08-09,Delhi,Road,Weekly,Rainy,Cash,Female,42,3.6,43.8,603.07,3,True,False
1223,2024-08-10,Pune,Hybrid,Weekly,Rainy,Wallet,Male,60,6.7,34.3,264.89,4,False,False
1224,2024-08-11,Hyderabad,Road,Monthly,Windy,UPI,Male,36,6.2,40.2,651.98,5,False,False
1225,2024-08-12,Bangalore,Hybrid,Annual,Sunny,UPI,Male,22,4.8,14.0,797.93,5,True,False
1226,2024-08-13,Chennai,Hybrid,Weekly,Windy,Card,Male,28,7.7,32.0,72.52,3,False,False
1227,2024-08-14,Hyderabad,City,Daily,Sunny,UPI,Male,29,2.0,29.4,723.02,2,False,False
1228,2024-08-15,Delhi,Mountain,Annual,Cloudy,UPI,Female,27,1.3,42.0,516.97,3,True,False
1229,2024-08-16,Kolkata,Mountain,Weekly,Sunny,Card,Female,25,6.9,45.5,780.04,4,True,True
1230,2024-08-17,Pune,Electric,Weekly,Sunny,UPI,Male,41,3.8,2.6,398.76,4,False,False
1231,2024-08-18,Delhi,City,Daily,Cloudy,UPI,Male,45,6.9,34.4,685.54,4,True,False
1232,2024-08-19,Hyderabad,Hybrid,Daily,Sunny,UPI,Male,58,7.2,4.5,96.8,2,False,False
1233,2024-08-20,Pune,Mountain,Monthly,Windy,UPI,Female,53,1.0,28.3,301.46,1,True,False
1234,2024-08-21,Chennai,Hybrid,Annual,Sunny,Card,Male,54,7.1,15.8,100.26,4,False,False
1235,2024-08-22,Hyderabad,Mountain,Annual,Cloudy,UPI,Female,38,3.9,16.7,781.51,4,False,False
1236,2024-08-23,Delhi,Mountain,Monthly,Windy,UPI,Male,25,4.3,18.9,662.73,3,False,True
1237,2024-08-24,Mumbai,Mountain,Annual,Cloudy,Card,Other,26,5.2,31.8,689.41,4,False,False
1238,2024-08-25,Bangalore,City,Annual,Cloudy,Wallet,Female,64,7.4,18.0,753.47,3,True,False
1239,2024-08-26,Kolkata,Road,Annual,Rainy,Cash,Male,32,0.6,37.2,113.83,5,True,False
1240,2024-08-27,Delhi,Hybrid,Annual,Rainy,Wallet,Female,63,4.1,21.4,339.2,5,False,True
1241,2024-08-28,Pune,City,Annual,Cloudy,Card,Male,57,5.7,5.3,103.28,3,False,False
1242,2024-08-29,Hyderabad,City,Daily,Cloudy,Cash,Female,35,5.9,39.6,208.09,3,True,False
1243,2024-08-30,Bangalore,City,Annual,Cloudy,Card,Male,59,5.7,15.7,222.02,4,True,True
1244,2024-08-31,Hyderabad,City,Daily,Rainy,Card,Female,37,1.5,22.8,401.83,3,False,False
1245,2024-09-01,Pune,City,Annual,Rainy,UPI,Female,23,2.7,34.9,251.42,4,False,True
1246,2024-09-02,Hyderabad,Electric,Monthly,Sunny,Cash,Female,29,3.2,18.0,125.73,5,False,False
1247,2024-09-03,Mumbai,Hybrid,Weekly,Sunny,UPI,Female,19,6.5,4.7,175.62,4,False,False
